condition,mode,start_time_utc,end_time_utc,duration_seconds,energy_start_wh,energy_end_wh,delta_energy_axis_wh,physical_energy_moved_wh,voltage_start_v,voltage_end_v,delta_voltage_v,profile
DIRECTSUN,charging,2026-05-06 08:52:00+00:00,2026-05-06 09:13:40.899000+00:00,1300.899,399.9661,389.84799666666663,-10.118103333333352,10.118103333333332,28.004,28.125,0.12099999999999866,lower_bound
UMBRA,discharging,2026-05-06 09:13:40.899000+00:00,2026-05-06 09:48:31.084000+00:00,2090.185,389.84799666666663,398.5571008333333,8.709104166666691,8.709104166666666,28.125,28.018362718825937,-0.10663728117406279,lower_bound
DIRECTSUN,charging,2026-05-06 09:48:31.084000+00:00,2026-05-06 10:48:28.103000+00:00,3597.019,398.5571008333333,370.5802863888889,-27.976814444444415,27.976814444444443,28.018362718825937,28.352666666666668,0.3343039478407306,lower_bound
UMBRA,discharging,2026-05-06 10:48:28.103000+00:00,2026-05-06 11:18:25+00:00,1796.897,370.5802863888889,378.06735722222226,7.487070833333348,7.487070833333333,28.352666666666668,28.26590312698672,-0.08676353967994643,lower_bound
DIRECTSUN,charging,2026-05-06 08:52:00+00:00,2026-05-06 09:13:40.899000+00:00,1300.899,400.00666,389.88855666666666,-10.118103333333352,10.118103333333332,28.0,28.125,0.125,input_voltage
UMBRA,discharging,2026-05-06 09:13:40.899000+00:00,2026-05-06 09:48:31.084000+00:00,2090.185,389.88855666666666,398.59766083333335,8.709104166666691,8.709104166666666,28.125,28.01732116813011,-0.10767883186989025,input_voltage
DIRECTSUN,charging,2026-05-06 09:48:31.084000+00:00,2026-05-06 10:48:28.103000+00:00,3597.019,398.59766083333335,370.62084638888894,-27.976814444444415,27.976814444444443,28.01732116813011,28.352666666666668,0.33534549853655804,input_voltage
UMBRA,discharging,2026-05-06 10:48:28.103000+00:00,2026-05-06 11:18:25+00:00,1796.897,370.62084638888894,378.1079172222223,7.487070833333348,7.487070833333333,28.352666666666668,28.26583681997348,-0.08682984669318827,input_voltage
DIRECTSUN,charging,2026-05-06 08:52:00+00:00,2026-05-06 09:13:40.899000+00:00,1300.899,392.96206666666666,382.8439633333333,-10.118103333333352,10.118103333333332,28.095,28.201666666666664,0.10666666666666558,upper_bound
UMBRA,discharging,2026-05-06 09:13:40.899000+00:00,2026-05-06 09:48:31.084000+00:00,2090.185,382.8439633333333,391.5530675,8.709104166666691,8.709104166666666,28.201666666666664,28.098333333333333,-0.10333333333333172,upper_bound
DIRECTSUN,charging,2026-05-06 09:48:31.084000+00:00,2026-05-06 10:48:28.103000+00:00,3597.019,391.5530675,363.5762530555555,-27.97681444444447,27.976814444444443,28.098333333333333,28.42895516971561,0.33062183638227793,upper_bound
UMBRA,discharging,2026-05-06 10:48:28.103000+00:00,2026-05-06 11:18:25+00:00,1796.897,363.5762530555555,371.0633238888889,7.487070833333348,7.487070833333333,28.42895516971561,28.346,-0.08295516971561057,upper_bound
